video_id,face_present,num_faces,face_size_ratios,dominant_emotions,width,height,resolution,aspect_ratio,brightness,contrast,saturation,hue,estimated_gamma,sharpness,white_balance_deviation,exposure,title,published_at,views,likes,comments,duration
MShL-QKJC2M,1,1,[0.03083912037037037],neutral,480,360,172800,1.3333333333333333,57.755509259259256,47.15660376680355,55.26593171296296,47.18377893518519,2.302627685773004,523.783748289475,3.2969976359955857,57.755509259259256,Ananya Birla: 1 Book That Changed How I See Power & Control #shorts,2025-02-03T14:51:11Z,1022489,30777,496,PT59S
ZN4xw7Njo2k,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,38.48228587962963,35.40402343698278,67.35790509259259,39.31219328703704,2.9393268904947534,264.3071027774763,3.004093340948883,38.48228587962963,Buying An IPL Team | Nikhil Kamath x Kumar Birla #shorts,2024-12-20T14:51:18Z,1077576,35681,199,PT21S
3_Z5fXYnmS4,0,0,,sad,480,360,172800,1.3333333333333333,55.01888310185185,45.866887874730274,55.59188657407408,83.2041087962963,2.3851685412607875,393.5561225564504,4.958625820763726,55.01888310185185,Why Bollywood Is Struggling #shorts,2024-12-30T17:17:02Z,171815,7682,153,PT45S
FJPYb0LwUwg,1,1,[0.0904224537037037],happy,480,360,172800,1.3333333333333333,63.64731481481481,45.82781065315006,111.05856481481482,22.64717013888889,2.2515961426673083,536.3818597345465,9.820615838561377,63.64731481481481,"Ola Gets PLI Support, Ather Doesn’t – What’s The Reason? #shorts",2024-12-03T16:31:43Z,164718,5539,29,PT42S
OYmruZ3Zrs8,1,1,[0.06319444444444444],fear,480,360,172800,1.3333333333333333,79.94334490740741,56.8869481443606,78.03969907407408,43.73987268518518,1.8513698457295515,506.03326897180295,6.06437053893933,79.94334490740741,Seek Discomfort | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T08:34:11Z,348800,25351,351,PT50S
G-8bvuAJHCg,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,74.62682870370371,54.37535762365514,82.28802083333333,45.03345486111111,1.9591397775292276,435.2281300633561,5.267733830405091,74.62682870370371,PM Modi 3.0 | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T08:35:57Z,110252,7358,85,PT27S
wgIke4qI0qA,1,1,[0.0904224537037037],angry,480,360,172800,1.3333333333333333,73.94037615740741,46.1055787946974,84.21454861111111,36.46877893518519,2.022132946880524,339.29888986541783,7.188414411179814,73.94037615740741,Hoisting Tiranga At Lal Chowk | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-11T12:02:30Z,624212,42853,159,PT34S
CUixSnyxf1o,0,0,,happy,480,360,172800,1.3333333333333333,30.432418981481483,30.371610394739054,62.40732060185185,42.86340277777778,3.340189500483765,336.25321421347206,1.393206439313214,30.432418981481483,Birla Opus Paints | Nikhil Kamath x Kumar Birla #shorts,2024-12-22T14:18:49Z,688851,23177,83,PT26S
fEUoJSTYtyc,0,0,,happy,480,360,172800,1.3333333333333333,108.66548032407408,68.79055934619385,81.31495949074075,78.43344328703704,1.518261234148229,3955.7906582939167,12.029956421107338,108.66548032407408,"Ep #21 | WTF is Longevity? | Nikhil ft. Nithin Kamath, Bryan Johnson, Prashanth, Jitendra & Seema",2025-02-02T05:30:01Z,927657,15048,2103,PT3H29M50S
_BYU4GAP-ig,1,1,[0.06319444444444444],happy,480,360,172800,1.3333333333333333,35.513587962962966,33.9930347113373,85.42277199074074,33.6772337962963,3.082705680598426,340.7922855104045,3.839877989999872,35.513587962962966,More Power To Nithin 💪🏻#shorts,2025-02-07T13:19:54Z,879546,30064,203,PT41S
fm0t1nwIEVU,1,1,[0.06319444444444444],happy,480,360,172800,1.3333333333333333,68.1335474537037,56.60129678442554,76.89291087962962,15.179751157407408,2.1126868350938968,421.6319848122093,9.232158036034091,68.1335474537037,Startup Founders Discuss Alcohol #shorts,2025-02-11T15:33:54Z,4353,998,12,PT39S
dFUQUPy2msA,0,0,,happy,480,360,172800,1.3333333333333333,42.76832175925926,33.20695695692139,111.95684027777776,50.68311342592592,2.887002905674802,391.1223759025835,3.0423595389979345,42.76832175925926,Jewellery Store Business Idea | Nikhil Kamath x Kumar Birla #shorts,2024-12-23T15:09:14Z,2512470,108957,494,PT42S
vD22aVSlbS4,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,77.07967013888889,49.6863391453415,72.77829861111111,38.213119212962965,1.8990062337680385,389.1778876856338,5.603738442912654,77.07967013888889,"10,000 Young Indians | Shri Narendra Modi x Nikhil Kamath #shorts",2025-01-12T11:28:22Z,152267,8676,85,PT35S
6LLtpmua8fE,1,1,[0.06380208333333333],happy,480,360,172800,1.3333333333333333,58.92398726851852,61.89739682042145,52.75814236111111,24.59164351851852,2.266347290166661,341.23543981468083,3.7776557652131495,58.92398726851852,People Ep 6 #shorts,2025-01-09T05:48:57Z,171281,8911,209,PT18S
pi5P27wpjsQ,1,5,"[0.10135416666666666, 0.03083912037037037, 0.03083912037037037, 0.03083912037037037, 0.13020833333333334]",happy,480,360,172800,1.3333333333333333,60.47561921296296,59.8001570690659,3.268917824074074,2.813917824074074,2.0893516309630327,758.9373773991757,0.3428252614804956,60.47561921296296,Ep #21 | WTF Is Longevity? #shorts,2025-02-04T14:08:03Z,457941,15427,161,PT57S
cC7QluHDjvk,1,1,[0.06380208333333333],happy,480,360,172800,1.3333333333333333,69.40019097222222,49.45438312999847,87.5262962962963,37.44444444444444,2.082330016265757,410.9139748477887,6.427712394486574,69.40019097222222,Limitless Aspiration | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T17:55:29Z,400279,28409,251,PT29S
RumoGMtqQKY,1,1,[0.04380208333333333],sad,480,360,172800,1.3333333333333333,59.59866898148148,51.10078308370221,28.041666666666668,16.26587962962963,2.19909765699394,1158.919813631151,2.0803632905948244,59.59866898148148,Nikhil Kamath's Advice For Young Gen #shorts,2024-12-12T16:17:37Z,265863,16420,178,PT20S
VfeHSgBGSOo,1,1,[0.044305555555555556],angry,480,360,172800,1.3333333333333333,78.35688078703704,52.38050418258624,84.6968287037037,35.23853587962963,1.9151311512093685,587.8383274591893,7.405813828322413,78.35688078703704,Third Term | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T09:09:39Z,394417,20242,621,PT28S
87j-EmpQWos,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,65.38059606481481,61.49477204583436,85.63166666666666,38.60274305555556,2.206077679475204,378.65273134430737,7.730075994640654,65.38059606481481,Why Builders Focus On Cities Like Bangalore & Chennai #shorts,2024-12-09T15:54:02Z,1138597,31853,343,PT49S
