video_id,face_present,num_faces,face_size_ratios,dominant_emotions,width,height,resolution,aspect_ratio,brightness,contrast,saturation,hue,estimated_gamma,sharpness,white_balance_deviation,exposure
NkTculIMNJM,1,1,[0.06380208333333333],neutral,480,360,172800,1.3333333333333333,91.54081597222222,65.43791661116417,57.53667824074074,28.018153935185186,1.5842902247660873,439.96013454777386,7.080911296580811,91.54081597222222
O1uhQLEKYq4,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,41.52523726851852,32.89891631180317,115.87363425925926,55.30102430555556,2.9280192821893856,264.51724536983454,2.9433475193966525,41.52523726851852
J7Cww5ERnVg,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,78.09003472222223,51.35795537181658,77.51967013888888,40.56785300925926,1.885516594536507,438.01364744724026,5.202710872598471,78.09003472222223
VWxdF1abztE,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,47.22880787037037,48.3107162067525,67.41248842592593,14.372019675925927,2.708572782824746,326.90824072453177,6.638933321118793,47.22880787037037
GFu1MUf0Nis,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,70.69291087962964,51.78844150500223,82.90906828703703,43.39888310185185,2.028576232106473,354.28218607882695,5.112445473284145,70.69291087962964
5pWy5QX9fcQ,0,0,,sad,480,360,172800,1.3333333333333333,75.80606481481482,56.50792477135101,82.1571238425926,45.60784722222222,1.9371470091270437,467.1567137731147,5.2443841823178925,75.80606481481482
wkReenvvggo,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,70.52979166666667,49.316669378083915,64.75144675925925,62.145127314814815,2.038838060148744,553.0113813645352,5.976873358157258,70.52979166666667
JDJXSfwPBLk,1,1,[0.044305555555555556],sad,480,360,172800,1.3333333333333333,90.01024884259259,73.16847909373017,65.8963888888889,30.533171296296295,1.653748414198934,554.2962365385748,7.956969796320483,90.01024884259259
9GnL6QGq2Qo,1,1,[0.06319444444444444],neutral,480,360,172800,1.3333333333333333,37.348130787037036,25.27458491224659,121.21674768518518,54.822662037037034,3.100880548029724,252.23935138403291,2.98697285789081,37.348130787037036
72Q_ZST0G00,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,70.06368634259259,49.537414253915095,91.04327546296297,49.94090856481481,2.083663380661483,1193.6023710642787,2.722529157344448,70.06368634259259
a-yVQ8T3O_0,1,1,[0.044814814814814814],sad,480,360,172800,1.3333333333333333,64.8637962962963,48.85886669919321,90.49960069444444,44.44292824074074,2.182244038808534,471.48758038073873,5.104097661706915,64.8637962962963
_HigxoFMQb0,1,1,[0.03083912037037037],sad,480,360,172800,1.3333333333333333,33.006765046296294,31.596325547816157,60.870694444444446,41.467141203703704,3.2099991123169804,310.3523197551963,1.7333475342567626,33.006765046296294
e6FqC4pWy8I,0,0,,happy,480,360,172800,1.3333333333333333,144.21891782407408,74.41772424697109,114.19125578703704,21.385324074074074,1.305235181140071,4727.793414060357,31.276139020986818,144.21891782407408
OobVVeZD5nk,1,1,[0.044305555555555556],neutral,480,360,172800,1.3333333333333333,101.39804976851852,62.975904255642604,46.102980324074075,23.943443287037038,1.4354456889475813,919.813999725886,6.3347404256065065,101.39804976851852
bNhqp5ooCAI,1,1,[0.13020833333333334],angry,480,360,172800,1.3333333333333333,78.39831018518518,50.472817546848,93.94749421296297,19.962407407407408,1.9180423270410658,582.7621932870035,10.910496059890079,78.39831018518518
dyA5VcuoN00,1,1,[0.044305555555555556],happy,480,360,172800,1.3333333333333333,45.824195601851855,45.671630721630194,128.16569444444445,70.94670138888888,2.90967199527128,718.2103529915432,3.8838185240558074,45.824195601851855
RMI5xa7UWHs,1,1,[0.09114583333333333],sad,480,360,172800,1.3333333333333333,71.20369791666667,50.74309932558975,87.3697974537037,44.084525462962965,2.055322805596363,333.57508662708847,5.251523603674908,71.20369791666667
A-wqSvlvUGM,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,62.328663194444445,45.15010150134324,86.86148148148148,33.3203587962963,2.277333972255173,629.6802427821449,7.728315275313369,62.328663194444445
VCv19PWTyFI,0,0,,sad,480,360,172800,1.3333333333333333,77.76442708333333,52.434096973822776,61.58490740740741,61.89936342592593,1.9056192947002442,692.4051911634824,6.005369343068031,77.76442708333333
ldD4Qdqo8J0,1,1,[0.03083912037037037],happy,480,360,172800,1.3333333333333333,74.97739004629629,49.35550733057077,83.99520833333334,41.28767361111111,1.9643730238077077,560.0676746886453,6.184671415297149,74.97739004629629
eoTFg3YpKdU,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,43.96855324074074,41.06361673175415,86.47382523148148,35.89458333333334,2.7930599254642834,298.0068342085891,4.949618748151652,43.96855324074074
ySyHxX00Cbg,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,57.48542824074074,47.75376891958402,63.151053240740744,61.20314236111111,2.3325130017590494,406.8895004385489,2.1037571531026207,57.48542824074074
v1diqD43JlQ,1,1,[0.0904224537037037],sad,480,360,172800,1.3333333333333333,39.29436921296296,42.28320413127861,85.05715277777777,18.22579861111111,2.939384905040143,769.0199336604281,4.714202951703559,39.29436921296296
0RySraf-9jc,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,73.64696759259259,45.4936367084697,84.22953703703703,32.30190393518519,2.0221148605909995,477.9029281482756,7.224727565095188,73.64696759259259
BeO1BNGpquY,1,1,[0.06380208333333333],happy,480,360,172800,1.3333333333333333,76.3280150462963,61.04350106781609,80.36811921296297,44.31597800925926,1.937031789054306,374.0182349536703,6.014726813992974,76.3280150462963
c45cwiucCBQ,1,1,[0.04380208333333333],angry,480,360,172800,1.3333333333333333,77.6822337962963,52.522728878818015,81.71132523148148,40.5558912037037,1.9015466313662923,451.8620128749518,5.982128330214558,77.6822337962963
yTMYtcQLLaw,0,0,,sad,480,360,172800,1.3333333333333333,157.6203935185185,82.4859165984225,82.9049537037037,31.09875578703704,1.066668601777592,4165.626017862119,22.734727250519708,157.6203935185185
3H5bVto4yC8,1,1,[0.044305555555555556],fear,480,360,172800,1.3333333333333333,97.35961805555556,60.88103813501631,47.070902777777775,26.12171875,1.4929138309423526,297.1210828884549,6.05363537616645,97.35961805555556
0NKTyoqR1-8,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,53.38912615740741,39.38934654304881,76.38662037037037,39.18941550925926,2.534231299321007,452.5579397885588,7.285341791111181,53.38912615740741
dgUs4yqt3Kw,0,0,,fear,480,360,172800,1.3333333333333333,74.18710648148148,54.289265643849596,82.97299768518519,38.02423611111111,1.950334435602688,310.28225517283414,5.97987674009375,74.18710648148148
TDRVdWAzVy8,0,0,,sad,480,360,172800,1.3333333333333333,146.9881712962963,81.82461551194389,95.70860532407407,36.98885416666667,1.1542699617035903,5215.825347145061,10.909964880478162,146.9881712962963
KbCqo_-RwOw,1,1,[0.06380208333333333],happy,480,360,172800,1.3333333333333333,77.09361111111112,60.3778255477046,91.47241898148148,32.752488425925925,1.983785055941855,459.5873318862727,9.799188810243958,77.09361111111112
b3hHD7_2bsM,1,1,[0.04380208333333333],happy,480,360,172800,1.3333333333333333,47.00825810185185,35.513016292836596,85.6184375,37.82168402777778,2.6965353496964095,368.8771526572145,5.13598982386242,47.00825810185185
n_4IKGh1kO8,1,1,[0.03083912037037037],angry,480,360,172800,1.3333333333333333,33.00245949074074,33.59646596168316,57.07342013888889,57.94159722222222,3.218218369163432,344.9517022633411,0.9604549764992517,33.00245949074074
P-nwqIeg6MU,1,1,[0.0904224537037037],fear,480,360,172800,1.3333333333333333,58.21864583333333,46.38072232486836,101.92779513888888,32.723130787037036,2.438823594718939,431.2289119533125,8.571018318112865,58.21864583333333
jHEy-1vGYJw,1,1,[0.13020833333333334],sad,480,360,172800,1.3333333333333333,46.66108217592593,38.14793152693801,107.44244212962963,26.78162037037037,2.7617992660862067,525.4406801841872,7.456421989430772,46.66108217592593
_cERT4yAFdA,0,0,,sad,480,360,172800,1.3333333333333333,62.837748842592596,54.05458179948535,55.316684027777775,54.276047453703704,2.172732234551907,368.99835609085653,1.694933560460559,62.837748842592596
IH7KvsGG0r4,1,1,[0.09114583333333333],neutral,480,360,172800,1.3333333333333333,90.82441550925925,50.92170503910837,89.10496527777778,11.74869212962963,1.7591470604115387,394.0136629291718,12.811414907522757,90.82441550925925
